asset_code,asset_name,currency
IBIT,iShares Bitcoin Trust,USD
GBTC,Grayscale Bitcoin Trust ETF (GBTC),USD
FBTC,Fidelity Wise Origin Bitcoin Fund,USD
ETHE,Grayscale Ethereum Trust ETF,USD
ARKB,ARK 21Shares Bitcoin ETF,USD
